overhead,ref_f,port,port+decep,+endpoint,port+endp+decep,+shuffling,+diversity,+deception
0.0,0.0,1.0,0.996,1.0,0.996,1.0,1.0,0.992
3.112,0.0025,1.0,0.9955334590009425,1.0,0.9968447339847991,1.0,1.0,0.9914523055262231
5.784,0.005,1.0,0.9967957089552238,1.0,0.9958530857454942,1.0,1.0,0.9909820485744456
12.104,0.01,1.0,0.9981321899184271,1.0,0.9965023681717714,1.0,1.0,0.9897860344079803
29.512,0.02,1.0,0.9944922625400213,1.0,0.9943627984453082,1.0,1.0,0.9850140179795825
94.544,0.04,0.9676828505938737,0.9811814073595868,0.9865864678388604,0.9659660623246553,0.995628907458991,0.995,0.9606103803297779
241.76,0.06,0.811428955891787,0.9207893349310965,0.8479684271788157,0.8897645674874307,0.9578450129773822,0.932,0.8969659447376824
477.296,0.08,0.5041608173866783,0.7723382978723404,0.5688347502656749,0.7175555447154471,0.8037441703531529,0.795,0.7810503336905027
800.408,0.1,,0.5774299259944495,0.24893648711477154,0.49818914047167456,0.5691129792619772,0.528,0.6140119108583941
1118.064,0.12,,0.4186590830976553,0.10853844758590196,0.32103003148576076,0.38023019445924344,0.343,0.4667645640926027
1566.936,0.15,,0.2616393629104157,0.008674337667637819,0.17683053978147303,0.16868686720469556,0.147,0.28550974596960627
2199.92,0.2,,,,0.04026857118253643,0.048487928876613,0.03,0.13653658927655207
3353.968,0.3,,,,0.0013456516903116579,0.005969022799377304,0.003,0.033756291976385674
5604.68,0.5,,,,,,0.0,0.001201145183437526
