parallelism,frequency,n_trials,compromises,asp,asp_ci_lo,asp_ci_hi,n_success,ttc_small_n,ttc_mean,ttc_mean_ci_lo,ttc_mean_ci_hi,ttc_median,ttc_median_ci_lo,ttc_median_ci_hi,overhead_mean,overhead_ci_lo,overhead_ci_hi,overhead_per_tick_mean,overhead_per_asset_mean,forced_recons_mean,wrong_target_failures_mean,decoys_encountered_mean,stale_fraction_mean,rounds_completed_mean,trial_ticks_mean,mutation_events_mean
1,0.0,1000,738,0.738,0.7098723945402419,0.764306068420634,738,False,81.07859078590786,77.24026527285758,84.91691629895814,74.5,66.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,9.328,0.0,0.0,9.328,112.236,0.0
1,0.01,1000,701,0.701,0.6718992775111103,0.7285623655776965,701,False,88.8644793152639,84.71400244677731,93.0149561837505,82.0,76.0,88.0,67.608,64.33228173633054,70.88371826366946,0.520565933631337,8.451,3.311,8.118,0.0,0.00917871075967097,11.429,122.094,4.775
1,0.02,1000,592,0.592,0.5612435983142355,0.6220522781244223,592,False,89.875,85.49651196697172,94.25348803302828,87.0,79.0,92.0,150.8,144.89669265175775,156.70330734824228,1.0626651104108915,18.85,6.867,7.139,0.0,0.018607205429780196,14.006,134.806,10.399
1,0.04,1000,454,0.454,0.4233763038248614,0.48497575795580966,454,False,93.39427312775331,88.31882535480791,98.4697209006987,87.5,77.9875,98.0,341.664,331.08050419909284,352.24749580090713,2.166133185578689,42.708,13.953,4.836,0.0,0.03801334046417783,18.789,151.601,22.871
1,0.08,1000,161,0.161,0.13952453255948705,0.18507000969371934,161,False,105.7080745341615,96.81323687307486,114.60291219524814,107.0,96.0,119.0,832.664,818.6699765832708,846.6580234167292,4.444978173295189,104.083,27.205,1.947,0.0,0.07943985609613799,29.152,184.819,52.724
1,0.12,1000,47,0.047,0.0355271051063845,0.06193993808152845,47,False,106.48936170212765,89.93981829616766,123.03890510808765,107.0,87.0,137.0,1317.808,1304.3203590284584,1331.2956409715416,6.704611684638471,164.726,34.885,0.629,0.0,0.1196078391562612,35.514,195.605,78.559
1,0.2,1000,2,0.002,0.000548643588120728,0.007262807863492177,2,True,73.0,43.60054023189919,102.39945976810081,73.0,58.0,88.0,2235.192,2223.5498048924437,2246.8341951075563,11.18976250783699,279.399,42.196,0.045,0.0,0.20152341634630144,42.241,199.746,117.792
1,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,3364.336,3351.6625675977793,3377.00943240222,16.82168,420.542,45.967,0.001,0.0,0.3019143483467272,45.968,200.0,151.969
2,0.0,1000,957,0.957,0.942580996155916,0.9679213465882865,957,False,60.81504702194357,57.88424623499621,63.74584780889093,46.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,5.074,0.0,0.0,5.074,66.8,0.0
2,0.01,1000,919,0.919,0.9004427979303052,0.9343503784587998,919,False,67.17845484221981,64.00327828999862,70.353631394441,54.0,50.0,57.0,42.88,40.11763535712421,45.6423646428758,0.49436786294728885,5.36,2.085,4.754,0.0,0.008557852622833576,6.839,77.937,2.991
2,0.02,1000,852,0.852,0.828644950702635,0.8726610113235342,852,False,70.30164319248826,66.98302828355226,73.62025810142426,59.0,54.9875,64.5,99.704,94.21979878362275,105.18820121637724,1.0075301004417367,12.463,4.603,4.309,0.0,0.017580618476669585,8.912,89.497,6.92
2,0.04,1000,687,0.687,0.6575897312800101,0.7149790610463924,687,False,81.2896652110626,77.34444463717983,85.23488578494536,72.0,64.0,78.0,263.568,252.28402056683902,274.851979433161,2.0532660320684326,32.946,10.948,3.428,0.0,0.03626990162486416,14.376,118.446,17.769
2,0.08,1000,291,0.291,0.2636897827038124,0.3199098023431496,291,False,99.80412371134021,93.18224019140433,106.42600723127609,101.0,89.975,113.0,766.008,748.4659222376237,783.5500777623764,4.367297854242106,95.751,25.132,1.642,0.0,0.07791389573344472,26.774,170.843,48.582
2,0.12,1000,86,0.086,0.07016852477576035,0.10500003125027926,86,False,98.30232558139535,86.23300032215985,110.37165084063085,95.5,77.5,109.5,1291.648,1274.8347430147173,1308.4612569852825,6.708003218700804,161.456,34.161,0.524,0.0,0.11991882219482804,34.685,191.254,76.778
2,0.2,1000,5,0.005,0.0021375355273244596,0.011650955373375113,5,True,84.4,21.599744324932644,147.20025567506735,76.0,10.0,168.0,2233.192,2220.6852792966765,2245.6987207033235,11.188763351235231,279.149,42.096,0.05,0.0,0.20111357093585497,42.146,199.422,117.838
2,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,3366.496,3353.7210808225445,3379.2709191774557,16.83248,420.812,46.108,0.001,0.0,0.30339619729962,46.109,200.0,152.137
4,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,33.644,32.00310605086369,35.284893949136304,24.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054,0.0,0.0,2.054,33.644,0.0
4,0.01,1000,990,0.99,0.9816905311296853,0.9945592455544707,990,False,41.64343434343434,39.610862326801936,43.67600636006675,33.0,30.0,34.0,24.512,22.623495351720962,26.40050464827904,0.4869791260370405,3.064,1.241,2.114,0.0,0.008631300780694446,3.355,43.227,1.745
4,0.02,1000,979,0.979,0.9681097049387625,0.9862242604320758,979,False,51.325842696629216,48.8332683618365,53.81841703142193,40.0,37.0,44.0,61.896,57.73900943331249,66.05299056668751,0.9967174722284757,7.737,2.831,2.135,0.0,0.016771604084666818,4.966,54.448,4.31
