n_assets,frequency,n_trials,compromises,asp,asp_ci_lo,asp_ci_hi,n_success,ttc_small_n,ttc_mean,ttc_mean_ci_lo,ttc_mean_ci_hi,ttc_median,ttc_median_ci_lo,ttc_median_ci_hi,overhead_mean,overhead_ci_lo,overhead_ci_hi,overhead_per_tick_mean,overhead_per_asset_mean,forced_recons_mean,wrong_target_failures_mean,decoys_encountered_mean,stale_fraction_mean,rounds_completed_mean,trial_ticks_mean,mutation_events_mean
4,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,17.761,17.058801393732704,18.463198606267294,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,0.0,0.0,0.618,17.761,0.0
4,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,26.559,25.34073949930538,27.777260500694624,21.0,20.0,22.0,14.88,13.766636451933497,15.993363548066505,0.45754987077573706,3.72,1.323,0.568,0.0,0.014405361283332705,1.891,26.559,2.063
4,0.08,1000,765,0.765,0.7377374064289094,0.7902344115737464,765,False,78.09150326797386,74.37179327862395,81.81121325732377,66.0,60.0,73.0,239.0,228.30998697894535,249.69001302105465,2.046149085164411,59.75,15.71,0.454,0.0,0.06984410125097276,16.164,106.74,30.368
4,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,1680.94,1674.985720523164,1686.8942794768361,8.4047,420.235,45.979,0.001,0.0,0.3016493925023855,45.98,200.0,152.033
8,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,18.041,17.33036024409789,18.75163975590211,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,18.041,0.0
8,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,26.509,25.34367749922246,27.674322500777542,21.0,20.0,22.0,29.512,27.274100816856432,31.74989918314357,0.9077601488876506,3.689,1.373,0.537,0.0,0.01532104584464016,1.91,26.509,2.02
8,0.08,1000,795,0.795,0.7688722989694241,0.8188699135240984,795,False,82.23270440251572,78.46692418211524,85.99848462291621,71.0,66.0,76.0,477.296,456.4956724540267,498.0963275459733,4.128276715831945,59.662,15.641,0.47,0.0,0.07057621508994381,16.111,106.375,30.265
8,0.3,1000,3,0.003,0.0010207838811386186,0.008783014053503173,3,True,147.66666666666666,82.21704165756667,213.11629167576666,159.0,85.0,199.0,3353.968,3340.6627916499147,3367.273208350085,16.781716300035136,419.246,45.892,0.001,0.0,0.300333015120282,45.893,199.843,151.856
16,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,17.083,16.440731152769466,17.72526884723053,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.0,0.0,0.551,17.083,0.0
16,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,26.755,25.604276320315808,27.90572367968419,22.0,20.0,22.0,59.376,54.87091374968587,63.88108625031413,1.7942282949890602,3.711,1.352,0.557,0.0,0.01462510958326884,1.909,26.755,2.052
16,0.08,1000,775,0.775,0.7480942379750103,0.7998010448579344,775,False,82.30193548387096,78.4984956974145,86.10537527032743,74.0,67.0,79.0,976.576,934.3133738395622,1018.8386261604378,8.243667663704173,61.036,15.995,0.478,0.0,0.07063966695591224,16.473,108.784,30.831
16,0.3,1000,2,0.002,0.000548643588120728,0.007262807863492177,2,True,108.5,-59.07692067817459,276.0769206781746,108.5,23.0,194.0,6724.56,6696.580683113099,6752.539316886901,33.64598533393098,420.285,45.965,0.0,0.0,0.3013585786160091,45.965,199.817,151.971
32,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,17.161,16.49593879173694,17.826061208263063,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,0.0,0.0,0.558,17.161,0.0
32,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,27.089,25.799182635007355,28.378817364992642,21.0,19.5,22.0,123.904,114.55408594924931,133.25391405075067,3.7207485130356055,3.872,1.414,0.567,0.0,0.015038752216719308,1.981,27.089,2.134
32,0.08,1000,777,0.777,0.7501681060278989,0.8017118697711036,777,False,82.82239382239382,78.97048717311104,86.6743004716766,73.0,67.0,79.0,1957.248,1872.0713839519697,2042.4246160480304,16.440275542334426,61.164,16.016,0.48,0.0,0.07019915581301993,16.496,108.953,30.887
32,0.3,1000,2,0.002,0.000548643588120728,0.007262807863492177,2,True,122.5,86.240666286009,158.759333713991,122.5,104.0,141.0,13445.088,13390.850535368778,13499.325464631222,67.27870673213312,420.159,45.949,0.001,0.0,0.302102571468792,45.95,199.845,151.864
