speed_multiplier,frequency,n_trials,compromises,asp,asp_ci_lo,asp_ci_hi,n_success,ttc_small_n,ttc_mean,ttc_mean_ci_lo,ttc_mean_ci_hi,ttc_median,ttc_median_ci_lo,ttc_median_ci_hi,overhead_mean,overhead_ci_lo,overhead_ci_hi,overhead_per_tick_mean,overhead_per_asset_mean,forced_recons_mean,wrong_target_failures_mean,decoys_encountered_mean,stale_fraction_mean,rounds_completed_mean,trial_ticks_mean,mutation_events_mean
0.5,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,9.028,8.673425538219902,9.382574461780099,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,9.028,0.0
0.5,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,11.001,10.517480981098402,11.484519018901597,8.0,7.0,9.0,12.528,11.35639631328756,13.699603686712441,0.8749423908883591,1.566,0.602,0.559,0.0,0.013963887845547456,1.161,11.001,0.87
0.5,0.08,1000,1000,1.0,0.996173241514445,1.0,1000,False,25.335,24.02401089969004,26.64598910030996,19.0,18.0,20.0,114.152,106.81819451353549,121.48580548646451,3.8661036504237236,14.269,4.514,0.649,0.0,0.06457858024166337,5.163,25.335,7.154
0.5,0.3,1000,170,0.17,0.1479915956385524,0.19453406496191405,170,False,98.67647058823529,90.51699337661456,106.83594779985602,100.0,88.0,110.5,3075.76,3027.0650754474473,3124.454924552553,16.69116746401126,384.47,64.56,0.089,0.0,0.2963223455421079,64.649,182.775,139.06
1.0,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,18.041,17.33036024409789,18.75163975590211,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,18.041,0.0
1.0,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,26.509,25.34367749922246,27.674322500777542,21.0,20.0,22.0,29.512,27.274100816856432,31.74989918314357,0.9077601488876506,3.689,1.373,0.537,0.0,0.01532104584464016,1.91,26.509,2.02
1.0,0.08,1000,795,0.795,0.7688722989694241,0.8188699135240984,795,False,82.23270440251572,78.46692418211524,85.99848462291621,71.0,66.0,76.0,477.296,456.4956724540267,498.0963275459733,4.128276715831945,59.662,15.641,0.47,0.0,0.07057621508994381,16.111,106.375,30.265
1.0,0.3,1000,3,0.003,0.0010207838811386186,0.008783014053503173,3,True,147.66666666666666,82.21704165756667,213.11629167576666,159.0,85.0,199.0,3353.968,3340.6627916499147,3367.273208350085,16.781716300035136,419.246,45.892,0.001,0.0,0.300333015120282,45.893,199.843,151.856
1.5,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,27.011,25.945615153866978,28.07638484613302,18.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,27.011,0.0
1.5,0.02,1000,989,0.989,0.9804106042992137,0.9938468259019134,989,False,50.9201213346815,48.58172411928054,53.25851855008246,38.0,35.0,41.0,59.936,55.83515313358101,64.036846866419,0.945366823939027,7.492,2.612,0.602,0.0,0.015945577878275427,3.214,52.56,4.104
1.5,0.08,1000,244,0.244,0.2183928321652609,0.2715664681793434,244,False,95.34836065573771,88.66359389906525,102.03312741241017,93.0,81.0,102.0,781.096,763.9824547488695,798.2095452511305,4.342955968161801,97.637,21.229,0.165,0.0,0.07726361767941597,21.394,174.465,49.636
1.5,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,3360.04,3347.475813901146,3372.604186098854,16.8002,420.005,34.022,0.0,0.0,0.30184847008121135,34.022,200.0,151.933
2.0,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,36.047,34.623045194583376,37.47095480541662,24.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,36.047,0.0
2.0,0.02,1000,916,0.916,0.8971749506177824,0.9316411863222358,916,False,71.31441048034935,68.30020770362329,74.32861325707542,57.0,53.4875,62.5,92.928,87.50648939315798,98.34951060684202,0.9658779366527622,11.616,3.892,0.546,0.0,0.016360103917788214,4.438,82.124,6.463
2.0,0.08,1000,73,0.073,0.05845902621241335,0.0908090255342507,73,False,91.01369863013699,78.09830293863094,103.92909432164303,76.0,56.0,104.0,865.6,853.3499560018224,877.8500439981776,4.451584442255128,108.2,19.711,0.032,0.0,0.08018285148834639,19.743,192.044,54.736
2.0,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,3358.904,3346.4217875558843,3371.3862124441157,16.79452,419.863,26.879,0.0,0.0,0.30206899804900617,26.879,200.0,151.867
